text_name,sentence
PopSci_MultiplEYE,"Influențează oare tipul de scriere, de exemplu, alfabetul latin față de scrierea chirilică sau arabă, timpii de citire?"
Ins_HumanRights,"Declarația universală a drepturilor omului - Preambul 

Considerând că recunoașterea demnității inerente tuturor membrilor familiei umane și a drepturilor lor egale și inalienabile constituie fundamentul libertății, dreptății și păcii în lume,
Considerând că ignorarea și disprețuirea drepturilor omului au dus la acte de barbarie care revoltă conștiința omenirii și că făurirea unei lumi în care ființele umane se vor bucura de libertatea cuvântului și a convingerilor și vor fi eliberate de teamă și mizerie a fost proclamată drept cea mai înaltă aspirație a oamenilor,
Considerând că este esențial ca drepturile omului să fie ocrotite de autoritatea legii pentru ca omul să nu fie silit să recurgă, ca soluție extremă, la revoltă împotriva tiraniei și asupririi,
Considerând că este esențial a se încuraja dezvoltarea relațiilor prietenești între națiuni,
Considerând că în Cartă popoarele Organizației Națiunilor Unite au proclamat din nou credința lor în drepturile fundamentale ale omului, în demnitatea și în valoarea persoanei umane, drepturi egale pentru bărbați și femei și că au hotărât să favorizeze progresul social și îmbunătățirea condițiilor de viață în cadrul unei libertăți mai mari,
Considerând că statele membre s-au angajat să promoveze în colaborare cu Organizația Națiunilor Unite respectul universal și efectiv față de drepturile omului și libertățile fundamentale, precum și respectarea lor universală și efectivă,
Considerând că o concepție comună despre aceste drepturi și libertăți este de cea mai mare importanță pentru realizarea deplină a acestui angajament,
Adunarea Generală proclamă prezenta Declarație Universală a Drepturilor Omului, ca ideal comun spre care trebuie să tindă toate popoarele și toate națiunile, pentru ca toate persoanele și toate organele societății să se străduiască, având această  Declarație permanent în minte, ca prin învățătură și educație să dezvolte respectul pentru aceste drepturi și libertăți și să asigure prin măsuri progresive, de ordin național și internațional, recunoașterea și aplicarea lor universală și efectivă, atât în sânul popoarelor statelor membre, cât și al celor din teritoriile aflate sub jurisdicția lor."
Ins_LearningMobility,"INTRODUCERE
Recenta Comunicare a Comisiei intitulată „Investiția în tinerii Europei” pune în evidență impactul pozitiv al mobilității în scop educațional asupra capacității de inserție profesională și asupra cetățeniei active."
Ins_LearningMobility,"Aptitudinile dobândite în cursul unei astfel de experiențe, cum ar fi capacitatea de a găsi soluții, adaptabilitatea, toleranța și încrederea în sine, sunt prețuite de angajatori și esențiale pentru societatea de astăzi."
Ins_LearningMobility,"Prin politicile și programele sale, Comisia încurajează mobilitatea în scop educațional a tinerilor, inclusiv printr-un criteriu de referință dedicat pentru mobilitatea în scop educațional și prin susținerea programului Erasmus+.
"
Ins_LearningMobility,"Concluziile Consiliului din 2011 privind un criteriu de referință pentru mobilitatea în scop educațional (2011/C372/08) invită Comisia: „să prezinte un raport Consiliului, până la sfârșitul anului 2015, în vederea reexaminării și, după caz, a revizuirii criteriului de referință privind mobilitatea în scop educațional."
Ins_LearningMobility,"” Concluziile Consiliului le solicită Comisiei și statelor membre să efectueze alte acțiuni, mai ales legat de indicatorii privind mobilitatea studenților, a tineretului și a profesorilor."
Ins_LearningMobility,"Acestea sunt descrise mai în detaliu în documente separate disponibile ale Comisiei.
"
Ins_LearningMobility,"Contextul concluziilor Consiliului din 2011 este reprezentat de cadrul strategic pentru cooperarea europeană în domeniul educației și formării profesionale (ET 2020), prin care Comisia este invitată „să înainteze o propunere privind un criteriu de referință în acest domeniu până la sfârșitul anului 2010, axându-se inițial pe mobilitatea fizică între țări în domeniul educației superioare..."
Ins_LearningMobility,” . Concluziile Consiliului au fost precedate de documentul de lucru al serviciilor Comisiei din 24 mai 2011 privind elaborarea unor criterii de referință referitoare la educația pentru capacitatea de inserție profesională și la mobilitatea în scop educațional (doc.
Ins_LearningMobility,"Prezentul raport răspunde obligației de a raporta Consiliului cu privire la progresele realizate în ceea ce privește criteriul de referință pentru mobilitate, în vederea continuării acțiunilor până în 2020.
"
Ins_LearningMobility,"Criteriul de referință privind mobilitatea în scop educațional cuprinde doi indicatori și este definit în anexa la concluziile din 2011, după cum urmează:
- „Până în 2020, o medie la nivelul UE de cel puțin 20% din absolvenții de învățământ superior ar trebui să fi beneficiat de o perioadă de studiu sau de formare (inclusiv stagii într-un mediu profesional) în străinătate legată de învățământul superior, reprezentând cel puțin 15 credite ECTS sau având o durată de cel puțin trei luni."
Ins_LearningMobility,"”
- „Până în 2020, o medie la nivelul UE de cel puțin 6% din grupa de vârstă 18-34 de ani având o calificare de învățământ profesional și tehnic inițial ar trebui să fi beneficiat de o perioadă de studiu sau de formare legată de învățământul profesional și tehnic inițial (inclusiv stagii într-un mediu profesional) în străinătate cu o durată de cel puțin două săptămâni sau mai puțin dacă este confirmată de un document Europass."
Ins_LearningMobility,"”
Criteriul de referință se concentrează asupra mobilității spre exterior: cu alte cuvinte, a măsurii în care persoanele individuale merg în străinătate pentru a acumula experiențe de învățare și calificări."
Ins_LearningMobility,Criteriul de referință al UE măsoară numărul de absolvenți care au fost mobili pe durata studiilor și care și-au încheiat cu succes studiile și au dobândit calificări.
Ins_LearningMobility,"El nu este legat în mod specific de o arie geografică, însă concluziile din 2011 subliniază că: „mobilitatea în scop educațional este definită ca mobilitate fizică și ține seama de mobilitatea în întreaga lume."
Ins_LearningMobility,"” Măsurarea indicatorului de referință pentru mobilitate IVET este limitată, în practică, de instrumentul menționat în concluzii (o anchetă în gospodării vizând o anumită grupă extinsă de vârstă), în vreme ce sursa indicatorului de referință privind mobilitatea în învățământul superior nu este specificată."
Lit_Alchemist,"Alchimistul - Partea întâi

Băiatul se numea Santiago."
Lit_Alchemist,"Își spuse, înainte de a adormi, că ar trebui să înceapă să citească niște cărți mai groase ― durau mai mult până se sfârșeau și erau perne mai confortabile în timpul nopții.
"
Lit_Alchemist,"Ca și cum ar fi existat o energie misterioasă care îi unea viața de aceea a oilor cu care străbătuse pământul de doi ani încoace în căutare de hrană și apă.
„S-au obișnuit atâta cu mine că-mi cunosc obiceiurile”, își spuse în șoaptă."
Lit_MagicMountain,"Dar ca să nu întunecăm cu meșteșugire o stare limpede a faptelor, iată despre ce este vorba: nemărginita vechime a povestirii noastre izvorăște din aceea că se desfășoară înaintea unei anumite răsturnări și a unui anumit hotar care a tulburat adânc Viața și Conștiința..."
Lit_MagicMountain,"Ea se desfășoară sau - pentru a evita cu bună știință orice urmă de prezent - se desfășura, adică s-a desfășurat odinioară, cândva, în acele apuse zile șase ale lumii dinaintea Marelui Război, cu al cărui început atâtea întâmplări au început, și care care de atunci fără îndoială abia au încetat să înceapă."
Lit_MagicMountain,"Prin urmare, povestea aceasta s-a desfășurat mai înainte, dacă nu cumva cu foarte mult înainte.
"
Lit_MagicMountain,"Dar caracterul trecut al unei povestiri nu este cu atât mai profund, mai împlinit și mai legendar cu cât se desfășoară mai apropiat de „odinioară”?
"
Lit_Solaris,"După cum era de așteptat, nicăieri n-au fost găsite urme de viață ― nici pe uscat, nici în ocean.
"
Lit_Solaris,"Dacă însă biologii vedeau în acea sferă lichidă o formă primitivă de viață ― ceva în genul unei colonii uriașe sau ceva asemănător cu o gigantică și unică celulă degenerată în creșterea ei (denumită „formație pre-biologică”) și a cărei manta gelatinoasă, pe alocuri adâncă de câteva mile, ar fi cuprins întregul glob, astronomii și fizicienii afirmau că ea trebuie să fie o structură aflată într-un stadiu de organizare atât de înalt încât nu era exclus să întreacă în complexitate organismele pământene, de vreme ce putea influența în mod activ forma orbitei planetare.
"
Lit_Solaris,"Așadar, fizicienii, și nu biologii, au emis paradoxala expresie de „mașină plasmatică”, înțelegând prin aceasta un obiect care, deși, conform concepției noastre, poate fi considerat neînsuflețit, este totuși capabil să acționeze într- un scop vădit și la o scară ― e bine s-o subliniem ― astronomică.
"
Lit_BrokenApril,"Acum parcurgeau un pripor lin, oarecum ciudat, nici câmp, nici munte, nici podiș.
Munții, propriu-zis, nu apăruseră încă, dar se simțea umbra lor amenințătoare și se părea că tocmai această umbră, deși respingea orice legătură între podiș și lumea munților, îl împiedica să fie clasificat drept câmpie."
Lit_BrokenApril,"Când și când stropi minusculi de ploaie brumau ferestrele trăsurii.
„Stâncile Blestemate”, spuse el în șoaptă, șovăind, așa cum pronunți numele cuiva a cărui apariție ai așteptat-o îndelung."
Lit_BrokenApril,"Smuciturile trăsurii făcură ca ziarul pe care-l cumpăraseră cu puțin înainte de plecarea din orășel și unde scria, pe prima pagină, despre ei, să alunece și să cadă, dar niciunul, nu se aplecă să-l ia de jos."
Lit_BrokenApril,"”
Mai apoi articolul era nițeluș confuz."
Arg_PISACowsMilk,"Valoarea nutritivă a laptelului: Beneficii nenumărate!
Produsele lactate de la „Lacto-Farm” conțin nutrienți esențiali: calciu, proteine, vitamina D, vitamina B12, riboflavină, potasiu."
Arg_PISACowsMilk,"Asociația Internațională pentru Produse Lactate, 27 septembrie 2007
Ana, Chris și Sam discută despre decizia de a nu mai servi lapte de vacă în cafenea."
Arg_PISACowsMilk,"Sam spune:
- Poate că laptele de vacă a devenit prea scump.
"
Arg_PISACowsMilk,"www.sanatatea-in-actualitate.ro/lapte
SĂNĂTATEA ÎN ACTUALITATE
SPUNE „NU” LAPTELUI DE VACĂ!
de Dr. R. Garza, reporter de specialitate
Laptele de vacă reprezintă o parte importantă a vieții americanilor."
Arg_PISACowsMilk,"CMR evidențiază și câteva probleme specifice asociate consumului de lapte: „Proteinele din lapte, zaharurile, grăsimile, grăsimile saturate din produsele lactate pun în risc sănătatea copiilor și contribuie la producerea obezității, diabetului și a bolilor de inimă."
Arg_PISACowsMilk,"”
Toate acestea sunt afirmații foarte dure și sunt necesare mai multe studii care să confirme rezultatele."
Arg_PISARapaNui,"www.blogulprofesoarei.ro/munca-de-teren/RapaNui
Blogul profesoarei
Postat pe 23 mai, 11:22
Mă uit pe fereastră de dimineață și văd peisajul pe care m-am deprins să-l îndrăgesc aici, pe Rapa Nui, care se mai numește și Insula Paștelui."
Arg_PISARapaNui,"www.recenziiacademice.ro/Colaps
Recenzia volumului Colaps
Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător."
Arg_PISARapaNui,"Diamond scrie că oamenii de pe Rapa Nui au defrișat terenul, pentru a practica agricultură și în alte scopuri;"
PopSci_Caveman,"”
Echipa spaniolă și-a început munca după ce un grup de speologi a descoperit, în 2006, două schelete într-un sistem de peșteri complex și adânc situat în Munții Cantabrici, în nord-vestul Spaniei."
PopSci_Caveman,"Rămășițele umane, care aparțineau a doi bărbați de aproximativ 30 de ani, au fost extrem de bine conservate datorită mediului rece al peșterii.
"
PopSci_Caveman,„Vezi o mulțime de reconstituiri ale acestor oameni care vânează și culeg și care arată ca europenii moderni cu pielea deschisă la culoare.
Enc_WikiMoon,"1,28 secunde lumină), sau aproximativ de 30 de ori diametrul Pământului.
"
Enc_WikiMoon,"Această perioadă este, în raport cu Soarele, de 29,5 zile și este vizibilă ca ciclul fazelor lunare."
